日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
2020/03/02,自營商,70644,404079,74039071,1652007,72381,438984,73366980,1690151,-1737,-34905,672091,-38144.0,45217,326206,38414823,2112365,112140,291988,47747857,1634450,-66923,34218,-9333034,477915
2020/03/02,投信,175,0,380538,0,23,0,51502,0,152,0,329036,0.0,5159,89,6672906,897,25920,60,50945922,36,-20761,29,-44273016,861
2020/03/02,外資及陸資,374593,258665,463368009,1310046,382338,277155,470557846,1446116,-7745,-18490,-7189837,-136070.0,89940,109835,139411010,1334483,102204,192606,103582092,1869534,-12264,-82771,35828918,-535051
2020/03/03,自營商,66748,493965,68569296,1212803,66262,452863,71481327,1127696,486,41102,-2912031,85107.0,46920,368253,37250141,1879550,113351,292894,49629748,1440784,-66431,75359,-12379607,438766
2020/03/03,投信,215,3,466562,1,323,0,730937,0,-108,3,-264375,1.0,5264,89,6988095,456,26133,57,52106395,22,-20869,32,-45118300,434
2020/03/03,外資及陸資,322379,250594,405139297,973267,314906,253042,392486406,984647,7473,-2448,12652891,-11380.0,89762,121607,142086400,1294035,94546,206826,93177959,1661191,-4784,-85219,48908441,-367156
2020/03/04,自營商,71004,540440,75554286,974649,62988,533585,69135723,967121,8016,6855,6418563,7528.0,49475,317828,39330949,1776553,107942,233326,45358918,1379132,-58467,84502,-6027969,397421
2020/03/04,投信,37,113,84031,167,2716,60,6165390,1,-2679,53,-6081359,166.0,5283,85,7057792,490,28831,0,58417234,0,-23548,85,-51359442,490
2020/03/04,外資及陸資,283434,249227,350406385,649415,276588,260529,339987149,684594,6846,-11302,10419236,-35179.0,94801,97531,149240369,1250317,89725,191700,89726994,1601277,5076,-94169,59513375,-350960
2020/03/05,自營商,45183,249235,45518959,731326,42364,233521,42608003,649213,2819,15714,2910956,82113.0,52647,359417,43345816,1519163,108256,259266,46553747,1269556,-55609,100151,-3207931,249607
2020/03/05,投信,541,0,332289,0,1438,0,3303678,0,-897,0,-2971389,0.0,5477,85,7222816,254,29922,0,62150670,0,-24445,85,-54927854,254
2020/03/05,外資及陸資,188923,104482,225195781,408819,182658,107184,217098643,433704,6265,-2702,8097138,-24885.0,102010,113442,163398311,1221255,90684,210313,95149541,1358963,11326,-96871,68248770,-137708
2020/03/06,自營商,53088,308072,57780863,996195,56878,330563,60513695,1038460,-3790,-22491,-2732832,-42265.0,55434,380429,47055019,2151459,115448,302784,52856186,1536342,-60014,77645,-5801167,615117
2020/03/06,投信,299,0,43158,0,986,0,2221933,0,-687,0,-2178775,0.0,5490,85,7002346,600,30622,0,63036739,0,-25132,85,-56034393,600
2020/03/06,外資及陸資,213043,149923,265049347,626697,233485,163366,287252605,714563,-20442,-13443,-22203258,-87866.0,91698,132535,142890475,1368292,97808,242849,98065847,2037797,-6110,-110314,44824628,-669505
2020/03/09,自營商,82674,464655,82824793,2008960,85376,472906,90117786,1904697,-2702,-8251,-7292993,104263.0,59913,414059,47275756,3625455,122470,344787,60057947,2225067,-62557,69272,-12782191,1400388
2020/03/09,投信,1644,15,1352750,109,2824,15,6179480,379,-1180,0,-4826730,-270.0,7083,85,8030574,1086,33395,0,67333192,0,-26312,85,-59302618,1086
